"date","avg_temp","avg_pw"
2021-05-29,17.8,17.86
2021-05-31,-13,12.395
2021-06-01,-6.8,17.475
2021-06-03,-5.6,16.98
2021-06-04,-0.1,17.375
2021-06-05,8,24.44
2021-06-06,-7.1,15.67
2021-06-10,4.5,21.09
2021-06-11,-11.6,11.435
2021-06-12,-6.4,13.05
2021-06-13,5.6,25.505
2021-06-14,2.2,26.025
2021-06-15,2.4,24.26
2021-06-16,-1,15.095
2021-06-20,-10.8,20.46
2021-06-21,-11,13.355
2021-06-22,-5.1,14.555
2021-06-23,2.3,20.95
2021-06-27,-6.5,21.955
2021-06-28,-11.8,19.65
2021-06-28,-6.7,19.65
2021-06-30,-9.1,16.045
2021-07-01,2.5,23.145
2021-07-07,3.9,22.53
2021-07-08,3.2,28.28
2021-07-10,0,24.305
2021-07-11,1.3,15.125
2021-07-12,-2.4,21.445
2021-07-15,6.7,24.91
2021-07-22,12.8,34.14
2021-07-23,4.5,32.415
2021-07-25,3.2,20.71
2021-07-26,5.7,21.435
2021-07-27,8.8,19.48
2021-07-28,8.2,23.925
